"","Field","Description","Type"
"140","kickoff_fair_catch","Binary indicator for if the kickoff was caught with a fair catch.","numeric"
"141","fumble_forced","Binary indicator for if the fumble was forced.","numeric"
"142","fumble_not_forced","Binary indicator for if the fumble was not forced.","numeric"
"143","fumble_out_of_bounds","Binary indicator for if the fumble went out of bounds.","numeric"
"144","solo_tackle","Binary indicator if the play had a solo tackle (could be multiple due to fumbles).","numeric"
"145","safety","Binary indicator for whether or not a safety occurred.","numeric"
"146","penalty","Binary indicator for whether or not a penalty occurred.","numeric"
"147","tackled_for_loss","Binary indicator for whether or not a tackle for loss on a run play occurred.","numeric"
"148","fumble_lost","Binary indicator for if the fumble was lost.","numeric"
"149","own_kickoff_recovery","Binary indicator for if the kicking team recovered the kickoff.","numeric"
"150","own_kickoff_recovery_td","Binary indicator for if the kicking team recovered the kickoff and scored a TD.","numeric"
"151","qb_hit","Binary indicator if the QB was hit on the play.","numeric"
"152","rush_attempt","Binary indicator for if the play was a run.","numeric"
"153","pass_attempt","Binary indicator for if the play was a pass attempt (includes sacks).","numeric"
"154","sack","Binary indicator for if the play ended in a sack.","numeric"
"155","touchdown","Binary indicator for if the play resulted in a TD.","numeric"
"156","pass_touchdown","Binary indicator for if the play resulted in a passing TD.","numeric"
"157","rush_touchdown","Binary indicator for if the play resulted in a rushing TD.","numeric"
"158","return_touchdown","Binary indicator for if the play resulted in a return TD. Returns may occur on any of: interception, fumble, kickoff, punt, or blocked kicks.","numeric"
"159","extra_point_attempt","Binary indicator for extra point attempt.","numeric"
"160","two_point_attempt","Binary indicator for two point conversion attempt.","numeric"
"161","field_goal_attempt","Binary indicator for field goal attempt.","numeric"
"162","kickoff_attempt","Binary indicator for kickoff.","numeric"
"163","punt_attempt","Binary indicator for punts.","numeric"
"164","fumble","Binary indicator for if a fumble occurred.","numeric"
"165","complete_pass","Binary indicator for if the pass was completed.","numeric"
"166","assist_tackle","Binary indicator for if an assist tackle occurred.","numeric"
"167","lateral_reception","Binary indicator for if a lateral occurred on the reception.","numeric"
"168","lateral_rush","Binary indicator for if a lateral occurred on a run.","numeric"
"169","lateral_return","Binary indicator for if a lateral occurred on a return. Returns may occur on any of: interception, fumble, kickoff, punt, or blocked kicks.","numeric"
"170","lateral_recovery","Binary indicator for if a lateral occurred on a fumble recovery.","numeric"
"171","passer_player_id","Unique identifier for the player that attempted the pass.","character"
"172","passer_player_name","String name for the player that attempted the pass.","character"
"173","passing_yards","Numeric yards by the passer_player_name, including yards gained in pass plays with laterals. This should equal official passing statistics.","numeric"
"174","receiver_player_id","Unique identifier for the receiver that was targeted on the pass.","character"
"175","receiver_player_name","String name for the targeted receiver.","character"
"176","receiving_yards","Numeric yards by the receiver_player_name, excluding yards gained in pass plays with laterals. This should equal official receiving statistics but could miss yards gained in pass plays with laterals. Please see the description of `lateral_receiver_player_name` for further information.","numeric"
"177","rusher_player_id","Unique identifier for the player that attempted the run.","character"
"178","rusher_player_name","String name for the player that attempted the run.","character"
"179","rushing_yards","Numeric yards by the rusher_player_name, excluding yards gained in rush plays with laterals. This should equal official rushing statistics but could miss yards gained in rush plays with laterals. Please see the description of `lateral_rusher_player_name` for further information.","numeric"
"180","lateral_receiver_player_id","Unique identifier for the player that received the last(!) lateral on a pass play.","character"
"181","lateral_receiver_player_name","String name for the player that received the last(!) lateral on a pass play. If there were multiple laterals in the same play, this will only be the last player who received a lateral. Please see <https://github.com/mrcaseb/nfl-data/tree/master/data/lateral_yards> for a list of plays where multiple players recorded lateral receiving yards.","character"
"182","lateral_receiving_yards","Numeric yards by the `lateral_receiver_player_name` in pass plays with laterals. Please see the description of `lateral_receiver_player_name` for further information.","numeric"
"183","lateral_rusher_player_id","Unique identifier for the player that received the last(!) lateral on a run play.","character"
"184","lateral_rusher_player_name","String name for the player that received the last(!) lateral on a run play. If there were multiple laterals in the same play, this will only be the last player who received a lateral. Please see <https://github.com/mrcaseb/nfl-data/tree/master/data/lateral_yards> for a list of plays where multiple players recorded lateral rushing yards.","character"
"185","lateral_rushing_yards","Numeric yards by the `lateral_rusher_player_name` in run plays with laterals. Please see the description of `lateral_rusher_player_name` for further information.","numeric"
"186","lateral_sack_player_id","Unique identifier for the player that received the lateral on a sack.","character"
"187","lateral_sack_player_name","String name for the player that received the lateral on a sack.","character"
"188","interception_player_id","Unique identifier for the player that intercepted the pass.","character"
"189","interception_player_name","String name for the player that intercepted the pass.","character"
"190","lateral_interception_player_id","Unique indentifier for the player that received the lateral on an interception.","character"
"191","lateral_interception_player_name","String name for the player that received the lateral on an interception.","character"
"192","punt_returner_player_id","Unique identifier for the punt returner.","character"
"193","punt_returner_player_name","String name for the punt returner.","character"
"194","lateral_punt_returner_player_id","Unique identifier for the player that received the lateral on a punt return.","character"
"195","lateral_punt_returner_player_name","String name for the player that received the lateral on a punt return.","character"
"196","kickoff_returner_player_name","String name for the kickoff returner.","character"
"197","kickoff_returner_player_id","Unique identifier for the kickoff returner.","character"
"198","lateral_kickoff_returner_player_id","Unique identifier for the player that received the lateral on a kickoff return.","character"
"199","lateral_kickoff_returner_player_name","String name for the player that received the lateral on a kickoff return.","character"
"200","punter_player_id","Unique identifier for the punter.","character"
"201","punter_player_name","String name for the punter.","character"
"202","kicker_player_name","String name for the kicker on FG or kickoff.","character"
"203","kicker_player_id","Unique identifier for the kicker on FG or kickoff.","character"
"204","own_kickoff_recovery_player_id","Unique identifier for the player that recovered their own kickoff.","character"
"205","own_kickoff_recovery_player_name","String name for the player that recovered their own kickoff.","character"
"206","blocked_player_id","Unique identifier for the player that blocked the punt or FG.","character"
"207","blocked_player_name","String name for the player that blocked the punt or FG.","character"
"208","tackle_for_loss_1_player_id","Unique identifier for one of the potential players with the tackle for loss.","character"
"209","tackle_for_loss_1_player_name","String name for one of the potential players with the tackle for loss.","character"
"210","tackle_for_loss_2_player_id","Unique identifier for one of the potential players with the tackle for loss.","character"
"211","tackle_for_loss_2_player_name","String name for one of the potential players with the tackle for loss.","character"
"212","qb_hit_1_player_id","Unique identifier for one of the potential players that hit the QB. No sack as the QB was not the ball carrier. For sacks please see `sack_player` or `half_sack_*_player`.","character"
"213","qb_hit_1_player_name","String name for one of the potential players that hit the QB. No sack as the QB was not the ball carrier. For sacks please see `sack_player` or `half_sack_*_player`.","character"
"214","qb_hit_2_player_id","Unique identifier for one of the potential players that hit the QB. No sack as the QB was not the ball carrier. For sacks please see `sack_player` or `half_sack_*_player`.","character"
"215","qb_hit_2_player_name","String name for one of the potential players that hit the QB. No sack as the QB was not the ball carrier. For sacks please see `sack_player` or `half_sack_*_player`.","character"
"216","forced_fumble_player_1_team","Team of one of the players with a forced fumble.","character"
"217","forced_fumble_player_1_player_id","Unique identifier of one of the players with a forced fumble.","character"
"218","forced_fumble_player_1_player_name","String name of one of the players with a forced fumble.","character"
"219","forced_fumble_player_2_team","Team of one of the players with a forced fumble.","character"
"220","forced_fumble_player_2_player_id","Unique identifier of one of the players with a forced fumble.","character"
"221","forced_fumble_player_2_player_name","String name of one of the players with a forced fumble.","character"
"222","solo_tackle_1_team","Team of one of the players with a solo tackle.","character"
"223","solo_tackle_2_team","Team of one of the players with a solo tackle.","character"
"224","solo_tackle_1_player_id","Unique identifier of one of the players with a solo tackle.","character"
"225","solo_tackle_2_player_id","Unique identifier of one of the players with a solo tackle.","character"
"226","solo_tackle_1_player_name","String name of one of the players with a solo tackle.","character"
"227","solo_tackle_2_player_name","String name of one of the players with a solo tackle.","character"
"228","assist_tackle_1_player_id","Unique identifier of one of the players with a tackle assist.","character"
"229","assist_tackle_1_player_name","String name of one of the players with a tackle assist.","character"
"230","assist_tackle_1_team","Team of one of the players with a tackle assist.","character"
"231","assist_tackle_2_player_id","Unique identifier of one of the players with a tackle assist.","character"
"232","assist_tackle_2_player_name","String name of one of the players with a tackle assist.","character"
"233","assist_tackle_2_team","Team of one of the players with a tackle assist.","character"
"234","assist_tackle_3_player_id","Unique identifier of one of the players with a tackle assist.","character"
"235","assist_tackle_3_player_name","String name of one of the players with a tackle assist.","character"
"236","assist_tackle_3_team","Team of one of the players with a tackle assist.","character"
"237","assist_tackle_4_player_id","Unique identifier of one of the players with a tackle assist.","character"
"238","assist_tackle_4_player_name","String name of one of the players with a tackle assist.","character"
"239","assist_tackle_4_team","Team of one of the players with a tackle assist.","character"
"240","tackle_with_assist","Binary indicator for if there has been a tackle with assist.","numeric"
"241","tackle_with_assist_1_player_id","Unique identifier of one of the players with a tackle with assist.","character"
"242","tackle_with_assist_1_player_name","String name of one of the players with a tackle with assist.","character"
"243","tackle_with_assist_1_team","Team of one of the players with a tackle with assist.","character"
"244","tackle_with_assist_2_player_id","Unique identifier of one of the players with a tackle with assist.","character"
"245","tackle_with_assist_2_player_name","String name of one of the players with a tackle with assist.","character"
"246","tackle_with_assist_2_team","Team of one of the players with a tackle with assist.","character"
"247","pass_defense_1_player_id","Unique identifier of one of the players with a pass defense.","character"
"248","pass_defense_1_player_name","String name of one of the players with a pass defense.","character"
"249","pass_defense_2_player_id","Unique identifier of one of the players with a pass defense.","character"
"250","pass_defense_2_player_name","String name of one of the players with a pass defense.","character"
"251","fumbled_1_team","Team of one of the first player with a fumble.","character"
"252","fumbled_1_player_id","Unique identifier of the first player who fumbled on the play.","character"
"253","fumbled_1_player_name","String name of one of the first player who fumbled on the play.","character"
"254","fumbled_2_player_id","Unique identifier of the second player who fumbled on the play.","character"
"255","fumbled_2_player_name","String name of one of the second player who fumbled on the play.","character"
"256","fumbled_2_team","Team of one of the second player with a fumble.","character"
"257","fumble_recovery_1_team","Team of one of the players with a fumble recovery.","character"
"258","fumble_recovery_1_yards","Yards gained by one of the players with a fumble recovery.","numeric"
"259","fumble_recovery_1_player_id","Unique identifier of one of the players with a fumble recovery.","character"
"260","fumble_recovery_1_player_name","String name of one of the players with a fumble recovery.","character"
"261","fumble_recovery_2_team","Team of one of the players with a fumble recovery.","character"
"262","fumble_recovery_2_yards","Yards gained by one of the players with a fumble recovery.","numeric"
"263","fumble_recovery_2_player_id","Unique identifier of one of the players with a fumble recovery.","character"
"264","fumble_recovery_2_player_name","String name of one of the players with a fumble recovery.","character"
"265","sack_player_id","Unique identifier of the player who recorded a solo sack.","character"
